Country,MasterCountry
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
North Macedonia,North Macedonia
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Congo (Kinshasa),Republic of the Congo
Republic of the Congo,Republic of the Congo
Romania,Romania
Russia,Russia
Rwanda,Rwanda
"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha"
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Maarten,Sint Maarten
Slovakia,Slovakia
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
St. Helena,St. Helena
St. Lucia,St. Lucia
St. Vincent and the Grenadines,St. Vincent and the Grenadines
Sudan,Sudan
Summer Olympics 2020,Summer Olympics 2020
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syria,Syria
Taiwan,Taiwan
Taiwan*,Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Turks & Caicos,Turks and Caicos Islands
Turks and Caicos Islands,Turks and Caicos Islands
Uganda,Uganda
Ukraine,Ukraine
UAE,United Arab Emirates
United Arab Emirates,United Arab Emirates
U.K.,United Kingdom
United Kingdom,United Kingdom
Uruguay,Uruguay
U.S.,US
US,US
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela
Vietnam,Vietnam
West Bank and Gaza,West Bank and Gaza
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
Alberta,xxxxxxxxxx
British Columbia,xxxxxxxxxx
England,xxxxxxxxxx
London,xxxxxxxxxx
Manitoba,xxxxxxxxxx
New Brunswick,xxxxxxxxxx
Newfoundland and Labrador,xxxxxxxxxx
Northern Ireland,xxxxxxxxxx
Northwest Territories,xxxxxxxxxx
Nova Scotia,xxxxxxxxxx
Nunavut,xxxxxxxxxx
Ontario,xxxxxxxxxx
Prince Edward Island,xxxxxxxxxx
Quebec,xxxxxxxxxx
Saskatchewan,xxxxxxxxxx
Scotland,xxxxxxxxxx
Wales,xxxxxxxxxx
Yukon,xxxxxxxxxx
